T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
35.8,20.57,20.28,-13.32,-0.07,0.96,0
35.9,20.28,20.86,-273.15,-0.09,0.96,0
36.0,20.57,20.28,-273.15,-0.09,0.96,0
36.1,20.57,20.28,1.83,-0.08,1.00,0
36.2,20.28,18.76,-273.15,-0.08,0.96,0
36.3,20.28,20.28,-13.32,-0.08,0.96,0
36.3,20.28,20.28,-273.15,-0.09,0.96,0
36.4,19.98,19.98,-273.15,-0.09,0.96,0
36.5,20.28,21.44,8.88,-0.08,0.96,0
36.6,20.57,20.28,-273.15,-0.09,1.00,0
36.7,20.28,19.07,-17.13,-0.09,0.96,0
36.8,20.57,19.98,-273.15,-0.08,0.96,0
36.9,20.57,19.68,-273.15,-0.09,0.96,0
37.0,20.28,19.98,2.96,-0.09,0.96,0
37.1,20.28,20.57,-273.15,-0.10,1.00,0
37.2,20.28,19.68,-273.15,-0.09,0.96,0
37.3,20.57,20.28,-38.36,-0.09,0.96,0
37.4,19.98,20.86,-273.15,-0.09,0.96,0
37.5,20.86,20.57,8.43,-0.09,1.00,0
37.5,20.28,20.28,-273.15,-0.10,0.96,0
37.6,20.28,21.15,-15.78,-0.10,1.00,0
37.7,20.57,20.86,0.63,-0.10,1.00,0
37.8,20.57,20.28,-20.15,-0.09,0.91,0
37.9,20.28,20.28,-6.48,-0.10,1.00,0
38.0,20.28,19.98,-273.15,-0.10,0.96,0
38.1,20.28,19.07,-273.15,-0.10,0.96,0
38.2,20.28,19.98,-273.15,-0.10,1.00,0
38.3,20.28,20.28,-273.15,-0.10,1.00,0
38.4,20.28,19.98,-18.58,-0.10,1.00,0
38.5,20.28,19.98,-273.15,-0.11,0.96,0
38.6,20.28,20.28,-52.78,-0.11,0.96,0
38.6,19.98,20.57,-6.48,-0.11,1.00,0
38.7,19.98,19.68,-273.15,-0.11,0.96,0
38.8,20.28,19.98,-8.22,-0.11,0.96,0
38.9,20.28,20.57,-273.15,-0.12,0.96,0
39.0,20.28,20.28,-273.15,-0.12,1.00,0
39.1,20.57,20.57,9.31,-0.12,0.96,0
39.2,20.28,20.28,-273.15,-0.12,0.96,0
39.3,20.28,19.98,-14.51,-0.12,1.00,0
39.4,20.57,19.98,-273.15,-0.11,0.96,0
39.5,20.28,19.98,-273.15,-0.12,0.96,0
39.6,20.86,19.98,7.98,-0.12,0.96,0
39.7,20.28,19.98,-273.15,-0.12,0.96,0
39.8,20.57,19.98,-9.15,-0.11,0.96,0
39.8,20.57,20.28,-273.15,-0.12,0.96,0
39.9,20.57,19.98,-34.26,-0.11,0.96,0
40.0,20.57,19.98,1.24,-0.11,0.91,0
